iter	Passed	Remaining
0	1	1978
1	3	1879
2	4	1658
3	6	1566
4	7	1516
5	11	1972
6	13	1899
7	15	1880
8	17	1879
9	18	1841
10	20	1799
11	21	1789
12	23	1764
13	25	1800
14	28	1842
15	29	1831
16	31	1812
17	33	1800
18	34	1789
19	35	1755
20	36	1724
21	40	1787
22	42	1796
23	43	1787
24	45	1771
25	46	1752
26	48	1733
27	49	1712
28	50	1692
29	51	1671
30	54	1707
31	56	1701
32	57	1684
33	58	1670
34	60	1654
35	61	1641
36	62	1632
37	64	1641
38	66	1638
39	68	1648
40	71	1662
41	72	1662
42	74	1655
43	76	1651
44	77	1640
45	78	1629
46	80	1629
47	82	1640
48	84	1634
49	85	1626
50	87	1632
51	89	1625
52	90	1619
53	91	1609
54	93	1602
55	96	1621
56	97	1613
57	98	1606
58	100	1603
59	101	1597
60	103	1591
61	104	1581
62	106	1579
63	107	1574
64	109	1580
65	111	1577
66	112	1572
67	114	1566
68	115	1560
69	116	1552
70	118	1547
71	119	1545
72	121	1544
73	123	1545
74	126	1554
75	127	1551
76	129	1547
77	130	1542
78	132	1538
79	134	1546
80	135	1542
81	137	1537
82	138	1529
83	140	1534
84	142	1530
85	143	1525
86	144	1518
87	146	1514
88	148	1517
89	149	1516
90	151	1510
91	153	1514
92	154	1511
93	156	1505
94	157	1501
95	159	1497
96	160	1493
97	161	1488
98	162	1482
99	164	1478
100	165	1472
101	166	1468
102	170	1482
103	172	1483
104	173	1480
105	175	1483
106	177	1481
107	179	1478
108	180	1474
109	182	1475
110	184	1475
111	186	1475
112	187	1472
113	189	1470
114	190	1466
115	192	1463
116	193	1459
117	194	1455
118	196	1452
119	198	1455
120	200	1454
121	201	1450
122	203	1447
123	204	1443
124	205	1440
125	207	1436
126	208	1432
127	209	1428
128	211	1425
129	214	1432
130	215	1431
131	217	1429
132	219	1428
133	220	1424
134	221	1420
135	222	1416
136	224	1412
137	227	1418
138	228	1416
139	229	1412
140	231	1407
141	231	1400
142	233	1396
143	234	1392
144	235	1389
145	237	1386
146	238	1384
147	241	1387
148	243	1388
149	244	1386
150	246	1383
151	247	1381
152	249	1383
153	251	1380
154	252	1377
155	255	1381
156	257	1382
157	258	1379
158	260	1376
159	261	1372
160	262	1366
161	263	1364
162	265	1361
163	266	1358
164	268	1356
165	271	1364
166	273	1363
167	274	1360
168	276	1358
169	277	1355
170	279	1352
171	281	1355
172	283	1355
173	286	1361
174	288	1358
175	289	1355
176	290	1351
177	291	1348
178	293	1345
179	294	1342
180	295	1339
181	297	1336
182	300	1343
183	302	1340
184	303	1338
185	305	1335
186	307	1336
187	308	1333
188	310	1331
189	311	1328
190	314	1334
191	316	1331
192	317	1328
193	318	1325
194	320	1322
195	322	1321
196	323	1320
197	325	1317
198	326	1315
199	330	1320
200	331	1317
201	332	1314
202	334	1311
203	336	1311
204	337	1309
205	338	1306
206	340	1303
207	342	1305
208	345	1306
209	346	1304
210	348	1302
211	350	1301
212	351	1298
213	352	1295
214	354	1292
215	355	1289
216	358	1292
217	359	1290
218	360	1287
219	362	1284
220	363	1282
221	365	1279
222	366	1276
223	367	1274
224	369	1272
225	372	1274
226	374	1275
227	376	1273
228	377	1272
229	379	1269
230	380	1266
231	381	1263
232	382	1260
233	384	1257
234	386	1258
235	388	1256
236	389	1253
237	390	1250
238	391	1248
239	393	1246
240	395	1244
241	396	1242
242	398	1240
243	399	1238
244	404	1245
245	405	1243
246	406	1240
247	408	1237
248	409	1235
249	411	1233
250	412	1230
251	414	1231
252	417	1231
253	418	1228
254	419	1226
255	421	1223
256	422	1220
257	423	1218
258	425	1215
259	426	1213
260	427	1210
261	432	1218
262	434	1217
263	435	1214
264	436	1211
265	438	1209
266	439	1206
267	440	1204
268	442	1202
269	443	1200
270	445	1198
271	446	1195
272	447	1192
273	449	1190
274	451	1189
275	454	1191
276	455	1189
277	456	1186
278	458	1185
279	459	1182
280	461	1179
281	462	1177
282	463	1174
283	464	1172
284	466	1169
285	469	1171
286	470	1169
287	472	1167
288	473	1165
289	475	1163
290	477	1162
291	492	1193
292	493	1191
293	495	1190
294	496	1187
295	501	1193
296	502	1190
297	504	1188
298	505	1186
299	507	1183
300	508	1181
301	510	1178
302	511	1176
303	515	1179
304	516	1177
305	518	1175
306	519	1172
307	520	1170
308	522	1167
309	523	1165
310	524	1162
311	525	1159
312	528	1160
313	530	1158
314	531	1156
315	533	1154
316	534	1152
317	536	1149
318	537	1147
319	539	1145
320	540	1143
321	542	1143
322	545	1142
323	546	1141
324	548	1138
325	549	1136
326	551	1134
327	552	1131
328	553	1129
329	554	1126
330	557	1126
331	559	1124
332	560	1123
333	562	1121
334	563	1119
335	565	1117
336	566	1114
337	567	1112
338	569	1110
339	572	1110
340	574	1110
341	576	1108
342	577	1106
343	578	1104
344	580	1101
345	581	1099
346	583	1097
347	584	1094
348	589	1098
349	590	1096
350	592	1095
351	593	1093
352	595	1090
353	596	1088
354	598	1086
355	599	1084
356	601	1084
357	604	1083
358	605	1081
359	607	1079
360	608	1077
361	609	1074
362	611	1072
363	612	1070
364	615	1070
365	616	1068
366	618	1066
367	619	1064
368	621	1062
369	622	1059
370	623	1057
371	625	1055
372	626	1053
373	632	1058
374	635	1058
375	637	1057
376	638	1054
377	639	1052
378	640	1049
379	642	1047
380	644	1047
381	646	1045
382	647	1043
383	648	1041
384	650	1038
385	651	1036
386	652	1033
387	654	1031
388	655	1029
389	657	1027
390	661	1030
391	663	1028
392	664	1026
393	666	1024
394	667	1022
395	668	1020
396	670	1018
397	671	1015
398	674	1016
399	676	1015
400	678	1013
401	679	1010
402	680	1008
403	682	1006
404	683	1004
405	685	1002
406	686	1000
407	689	1000
408	691	998
409	692	996
410	694	994
411	695	992
412	697	990
413	698	988
414	699	986
415	700	983
416	703	983
417	705	982
418	707	980
419	708	978
420	709	976
421	711	974
422	712	972
423	714	971
424	717	970
425	719	969
426	720	967
427	722	965
428	723	963
429	724	961
430	726	958
431	727	956
432	728	954
433	730	952
434	734	953
435	736	952
436	737	950
437	739	948
438	740	946
439	742	944
440	743	942
441	745	940
442	748	940
443	753	943
444	754	940
445	755	938
446	757	936
447	758	934
448	760	932
449	766	936
450	767	934
451	768	932
452	770	930
453	781	939
454	783	938
455	784	936
456	786	934
457	787	932
458	789	930
459	790	928
460	794	928
461	795	926
462	797	924
463	798	922
464	799	919
465	800	917
466	802	915
467	803	913
468	804	910
469	805	908
470	810	910
471	812	908
472	813	906
473	815	904
474	816	902
475	817	899
476	818	897
477	820	895
478	824	896
479	826	894
480	827	892
481	829	891
482	830	889
483	831	886
484	833	884
485	834	883
486	838	882
487	839	881
488	841	878
489	842	876
490	843	874
491	845	872
492	846	870
493	847	868
494	849	866
495	851	865
496	853	863
497	855	862
498	857	861
499	859	859
500	862	859
501	863	857
502	865	854
503	867	854
504	869	852
505	870	850
506	872	848
507	873	846
508	875	844
509	876	842
510	877	840
511	879	837
512	882	837
513	884	836
514	885	834
515	887	832
516	888	830
517	890	828
518	891	826
519	893	824
520	894	822
521	898	822
522	901	821
523	903	820
524	905	818
525	906	816
526	908	814
527	909	813
528	912	812
529	914	811
530	917	810
531	918	808
532	920	806
533	921	804
534	924	803
535	926	802
536	928	800
537	929	798
538	931	796
539	932	794
540	933	792
541	935	790
542	936	788
543	938	786
544	940	785
545	942	783
546	944	781
547	945	779
548	946	777
549	948	776
550	949	773
551	951	771
552	954	771
553	958	771
554	959	769
555	962	768
556	964	767
557	966	765
558	969	764
559	971	763
560	973	761
561	975	760
562	977	758
563	978	756
564	980	755
565	984	755
566	986	753
567	989	752
568	991	751
569	993	749
570	995	748
571	999	747
572	1001	746
573	1005	746
574	1008	745
575	1010	743
576	1014	743
577	1015	741
578	1017	739
579	1019	738
580	1021	736
581	1022	734
582	1025	733
583	1028	732
584	1031	731
585	1033	729
586	1035	728
587	1038	727
588	1039	725
589	1043	724
590	1045	723
591	1047	722
592	1049	720
593	1051	718
594	1053	716
595	1055	715
596	1060	715
597	1063	714
598	1065	713
599	1068	712
600	1069	710
601	1074	710
602	1075	708
603	1077	706
604	1079	704
605	1081	703
606	1082	701
607	1084	699
608	1087	698
609	1089	696
610	1091	694
611	1093	693
612	1094	691
613	1096	689
614	1098	687
615	1099	685
616	1103	685
617	1106	683
618	1108	682
619	1109	680
620	1111	678
621	1113	676
622	1115	674
623	1118	674
624	1120	672
625	1121	670
626	1123	668
627	1124	666
628	1125	664
629	1127	662
630	1128	660
631	1130	657
632	1132	656
633	1134	654
634	1135	652
635	1137	651
636	1139	649
637	1140	647
638	1142	645
639	1143	643
640	1145	641
641	1148	640
642	1150	638
643	1151	636
644	1153	634
645	1154	632
646	1156	630
647	1157	628
648	1159	626
649	1161	625
650	1164	624
651	1167	622
652	1168	621
653	1170	619
654	1171	617
655	1173	615
656	1174	613
657	1178	612
658	1180	610
659	1181	608
660	1183	606
661	1185	605
662	1186	603
663	1187	601
664	1189	599
665	1191	597
666	1195	596
667	1197	594
668	1198	593
669	1200	591
670	1202	589
671	1203	587
672	1204	585
673	1207	584
674	1209	582
675	1211	580
676	1212	578
677	1213	576
678	1215	574
679	1217	572
680	1221	572
681	1223	570
682	1224	568
683	1226	566
684	1227	564
685	1229	562
686	1230	560
687	1232	558
688	1233	556
689	1236	555
690	1238	553
691	1239	551
692	1241	549
693	1242	548
694	1245	546
695	1246	544
696	1250	543
697	1252	541
698	1253	539
699	1255	537
700	1257	536
701	1258	534
702	1259	532
703	1260	530
704	1262	528
705	1264	526
706	1266	524
707	1268	523
708	1269	521
709	1271	519
710	1272	517
711	1273	515
712	1275	513
713	1276	511
714	1278	509
715	1281	508
716	1283	506
717	1285	504
718	1287	503
719	1289	501
720	1290	499
721	1291	497
722	1293	495
723	1295	493
724	1297	492
725	1298	490
726	1300	488
727	1301	486
728	1302	484
729	1304	482
730	1305	480
731	1306	478
732	1307	476
733	1310	474
734	1311	472
735	1313	471
736	1314	469
737	1316	467
738	1317	465
739	1319	463
740	1320	461
741	1321	459
742	1323	457
743	1326	456
744	1327	454
745	1329	452
746	1331	450
747	1333	449
748	1334	447
749	1337	445
750	1339	444
751	1342	442
752	1344	440
753	1345	439
754	1347	437
755	1348	435
756	1349	433
757	1353	432
758	1354	430
759	1356	428
760	1357	426
761	1359	424
762	1360	422
763	1361	420
764	1363	418
765	1364	416
766	1366	415
767	1368	413
768	1369	411
769	1371	409
770	1372	407
771	1374	405
772	1375	403
773	1377	402
774	1378	400
775	1381	398
776	1384	397
777	1386	395
778	1387	393
779	1389	391
780	1390	390
781	1392	388
782	1393	386
783	1396	384
784	1397	382
785	1398	380
786	1400	378
787	1401	377
788	1402	375
789	1404	373
790	1405	371
791	1407	369
792	1408	367
793	1411	366
794	1413	364
795	1415	362
796	1416	360
797	1417	358
798	1419	357
799	1420	355
800	1421	353
801	1423	351
802	1426	349
803	1428	348
804	1429	346
805	1430	344
806	1432	342
807	1433	340
808	1434	338
809	1435	336
810	1437	334
811	1440	333
812	1442	331
813	1443	329
814	1445	328
815	1446	326
816	1448	324
817	1449	322
818	1451	320
819	1453	318
820	1456	317
821	1457	315
822	1458	313
823	1460	311
824	1461	310
825	1462	308
826	1464	306
827	1465	304
828	1469	303
829	1471	301
830	1472	299
831	1474	297
832	1475	295
833	1477	294
834	1478	292
835	1479	290
836	1481	288
837	1484	287
838	1486	285
839	1487	283
840	1489	281
841	1491	279
842	1492	278
843	1494	276
844	1495	274
845	1498	272
846	1500	271
847	1501	269
848	1503	267
849	1504	265
850	1505	263
851	1507	261
852	1508	260
853	1510	258
854	1514	256
855	1516	255
856	1517	253
857	1519	251
858	1520	249
859	1522	247
860	1523	245
861	1524	244
862	1528	242
863	1529	240
864	1531	239
865	1532	237
866	1533	235
867	1535	233
868	1536	231
869	1538	229
870	1539	228
871	1543	226
872	1545	224
873	1547	223
874	1548	221
875	1550	219
876	1551	217
877	1552	215
878	1554	213
879	1558	212
880	1560	210
881	1561	208
882	1562	207
883	1563	205
884	1565	203
885	1566	201
886	1567	199
887	1568	197
888	1571	196
889	1573	194
890	1575	192
891	1576	190
892	1578	189
893	1579	187
894	1580	185
895	1582	183
896	1583	181
897	1586	180
898	1588	178
899	1590	176
900	1592	174
901	1593	173
902	1594	171
903	1596	169
904	1597	167
905	1598	165
906	1615	165
907	1618	163
